时间,环号,推进状态,推进速度,总推力,刀盘扭矩,刀盘转速,土压01数值,土压02数值,土压03数值,土压04数值,土压05数值,土压06数值,螺旋机转速,螺旋机扭矩,前端里程,土压平均值,上土压,推进距离
2019-12-13 11:28:05,1054,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.2,2.3,2.4,0.0,0.0,33311.997,2.2,2.1,0.0
2019-12-13 11:28:15,1054,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.2,2.3,2.4,0.0,0.0,33311.997,2.2,2.1,0.0
2019-12-13 11:28:25,1054,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.2,2.3,2.4,0.0,0.0,33311.997,2.2,2.1,0.0
2019-12-13 11:28:35,1054,4,0.0,0.0,0.0,0.0,2.0,2.1,2.1,2.2,2.3,2.4,0.0,0.0,33311.997,2.183333333333333,2.05,0.0
2019-12-13 11:28:45,1054,4,0.0,0.0,0.0,0.0,2.0,2.1,2.1,2.2,2.3,2.4,0.0,0.0,33311.997,2.183333333333333,2.05,0.0
2019-12-13 11:28:55,1054,4,0.0,0.0,0.0,0.0,2.0,2.1,2.1,2.2,2.3,2.4,0.0,0.0,33311.997,2.183333333333333,2.05,0.0
2019-12-13 11:29:05,1054,4,0.0,0.0,0.0,0.0,2.0,2.1,2.1,2.2,2.3,2.4,0.0,0.0,33311.997,2.183333333333333,2.05,0.0
2019-12-13 11:29:15,1054,4,0.0,0.0,0.0,0.0,2.0,2.1,2.1,2.2,2.3,2.4,0.0,0.0,33311.997,2.183333333333333,2.05,0.0
2019-12-13 11:29:25,1054,4,0.0,0.0,0.0,0.0,2.0,2.1,2.1,2.2,2.3,2.4,0.0,0.0,33311.997,2.183333333333333,2.05,0.0
2019-12-13 11:29:35,1054,4,0.0,0.0,0.0,0.0,2.0,2.1,2.1,2.2,2.3,2.4,0.0,0.0,33311.997,2.183333333333333,2.05,0.0
2019-12-13 11:29:45,1054,4,0.0,0.0,0.0,0.0,2.0,2.1,2.1,2.2,2.3,2.4,0.0,0.0,33311.997,2.183333333333333,2.05,0.0
2019-12-13 11:29:55,1054,4,0.0,0.0,0.0,0.0,2.0,2.1,2.1,2.2,2.3,2.4,0.0,0.0,33311.997,2.183333333333333,2.05,0.0
2019-12-13 11:30:05,1054,4,0.0,0.0,0.0,0.0,2.0,2.1,2.1,2.2,2.3,2.4,0.0,0.0,33311.997,2.183333333333333,2.05,0.0
2019-12-13 11:30:15,1054,4,0.0,0.0,0.0,0.0,2.0,2.1,2.1,2.2,2.3,2.4,0.0,0.0,33311.997,2.183333333333333,2.05,0.0
2019-12-13 11:30:25,1054,4,0.0,0.0,0.0,0.0,2.0,2.1,2.1,2.2,2.3,2.4,0.0,0.0,33311.997,2.183333333333333,2.05,0.0
2019-12-13 11:30:35,1054,4,0.0,0.0,0.0,0.0,2.0,2.1,2.1,2.2,2.3,2.4,0.0,0.0,33311.997,2.183333333333333,2.05,0.0
2019-12-13 11:30:45,1054,4,0.0,0.0,0.0,0.0,2.0,2.1,2.1,2.2,2.3,2.4,0.0,0.0,33311.997,2.183333333333333,2.05,0.0
2019-12-13 11:30:55,1054,4,0.0,0.0,0.0,0.0,2.0,2.1,2.1,2.2,2.3,2.4,0.0,0.0,33311.997,2.183333333333333,2.05,0.0
2019-12-13 11:31:05,1054,4,0.0,0.0,0.0,0.0,2.0,2.1,2.1,2.2,2.2,2.4,0.0,0.0,33311.997,2.1666666666666665,2.05,0.0
2019-12-13 11:31:15,1054,4,0.0,0.0,0.0,0.0,2.0,2.1,2.1,2.2,2.3,2.4,0.0,0.0,33311.997,2.183333333333333,2.05,0.0
2019-12-13 11:31:25,1054,4,0.0,0.0,0.0,0.0,2.0,2.1,2.1,2.2,2.3,2.4,0.0,0.0,33311.997,2.183333333333333,2.05,0.0
2019-12-13 11:31:35,1054,4,0.0,0.0,0.0,0.0,2.0,2.1,2.1,2.2,2.3,2.4,0.0,0.0,33311.997,2.183333333333333,2.05,0.0
2019-12-13 11:31:45,1054,4,0.0,0.0,0.0,0.0,2.0,2.1,2.1,2.2,2.3,2.4,0.0,0.0,33311.997,2.183333333333333,2.05,0.0
