时间,环号,推进状态,推进速度,总推力,刀盘扭矩,刀盘转速,土压01数值,土压02数值,土压03数值,土压04数值,土压05数值,土压06数值,螺旋机转速,螺旋机扭矩,前端里程,土压平均值,上土压,推进距离
2019-12-19 4:56:48,1104,4,0.0,0.0,0.0,0.0,2.1,2.1,2.0,2.1,2.1,2.2,0.0,0.0,33372.127,2.1,2.1,0.0
2019-12-19 4:56:58,1104,4,0.0,0.0,0.0,0.0,2.1,2.1,2.0,2.1,2.1,2.2,0.0,0.0,33372.127,2.1,2.1,0.0
2019-12-19 4:57:08,1104,4,0.0,0.0,0.0,0.0,2.1,2.1,2.0,2.1,2.1,2.2,0.0,0.0,33372.127,2.1,2.1,0.0
2019-12-19 4:57:18,1104,4,0.0,0.0,0.0,0.0,2.1,2.1,2.0,2.1,2.1,2.2,0.0,0.0,33372.127,2.1,2.1,0.0
2019-12-19 4:57:28,1104,4,0.0,0.0,0.0,0.0,2.1,2.1,2.0,2.1,2.1,2.2,0.0,0.0,33372.127,2.1,2.1,0.0
2019-12-19 4:57:38,1104,4,0.0,0.0,0.0,0.0,2.0,2.1,2.0,2.1,2.1,2.2,0.0,0.0,33372.127,2.0833333333333335,2.05,0.0
2019-12-19 4:57:48,1104,4,0.0,0.0,0.0,0.0,2.0,2.1,2.0,2.1,2.1,2.2,0.0,0.0,33372.127,2.0833333333333335,2.05,0.0
2019-12-19 4:57:58,1104,4,0.0,0.0,0.0,0.0,2.0,2.1,2.0,2.1,2.1,2.2,0.0,0.0,33372.127,2.0833333333333335,2.05,0.0
2019-12-19 4:58:08,1104,4,0.0,0.0,0.0,0.0,2.0,2.1,2.0,2.1,2.1,2.2,0.0,0.0,33372.127,2.0833333333333335,2.05,0.0
2019-12-19 4:58:18,1104,4,0.0,0.0,0.0,0.0,2.0,2.1,2.0,2.1,2.1,2.2,0.0,0.0,33372.127,2.0833333333333335,2.05,0.0
2019-12-19 4:58:28,1104,4,0.0,0.0,0.0,0.0,2.0,2.1,2.0,2.1,2.1,2.2,0.0,0.0,33372.127,2.0833333333333335,2.05,0.0
2019-12-19 4:58:38,1104,4,0.0,0.0,0.0,0.0,2.0,2.1,2.0,2.1,2.1,2.2,0.0,0.0,33372.127,2.0833333333333335,2.05,0.0
2019-12-19 4:58:48,1104,4,0.0,0.0,0.0,0.0,2.0,2.1,2.0,2.1,2.1,2.2,0.0,0.0,33372.127,2.0833333333333335,2.05,0.0
2019-12-19 4:58:58,1104,4,0.0,0.0,0.0,0.0,2.0,2.1,2.0,2.1,2.1,2.2,0.0,0.0,33372.127,2.0833333333333335,2.05,0.0
2019-12-19 4:59:08,1104,4,0.0,0.0,0.0,0.0,2.0,2.1,2.0,2.1,2.1,2.2,0.0,0.0,33372.127,2.0833333333333335,2.05,0.0
2019-12-19 4:59:18,1104,4,0.0,0.0,0.0,0.0,2.0,2.1,2.0,2.1,2.1,2.2,0.0,0.0,33372.127,2.0833333333333335,2.05,0.0
2019-12-19 4:59:28,1104,4,0.0,0.0,0.0,0.0,2.0,2.1,2.0,2.1,2.1,2.2,0.0,0.0,33372.127,2.0833333333333335,2.05,0.0
2019-12-19 4:59:38,1104,4,0.0,0.0,0.0,0.0,2.0,2.1,2.0,2.1,2.1,2.2,0.0,0.0,33372.127,2.0833333333333335,2.05,0.0
2019-12-19 4:59:48,1104,4,0.0,0.0,0.0,0.0,2.0,2.1,2.0,2.1,2.1,2.2,0.0,0.0,33372.127,2.0833333333333335,2.05,0.0
2019-12-19 4:59:58,1104,4,0.0,0.0,0.0,0.0,2.0,2.1,2.0,2.1,2.1,2.2,0.0,0.0,33372.127,2.0833333333333335,2.05,0.0
2019-12-19 5:00:08,1104,4,0.0,0.0,0.0,0.0,2.0,2.1,2.0,2.1,2.1,2.2,0.0,0.0,33372.127,2.0833333333333335,2.05,0.0
2019-12-19 5:00:18,1104,4,0.0,0.0,0.0,0.0,2.0,2.1,2.0,2.1,2.1,2.2,0.0,0.0,33372.127,2.0833333333333335,2.05,0.0
2019-12-19 5:00:28,1104,4,0.0,0.0,0.0,0.0,2.0,2.1,2.0,2.1,2.1,2.2,0.0,0.0,33372.127,2.0833333333333335,2.05,0.0
2019-12-19 5:00:38,1104,4,0.0,0.0,0.0,0.0,2.0,2.1,2.0,2.1,2.1,2.2,0.0,0.0,33372.127,2.0833333333333335,2.05,0.0
2019-12-19 5:00:48,1104,4,0.0,0.0,0.0,0.0,2.0,2.1,2.0,2.1,2.1,2.2,0.0,0.0,33372.127,2.0833333333333335,2.05,0.0
2019-12-19 5:00:58,1104,4,0.0,0.0,0.0,0.0,2.1,2.1,2.0,2.1,2.1,2.1,0.0,0.0,33372.127,2.0833333333333335,2.1,0.0
2019-12-19 5:01:08,1104,4,0.0,0.0,0.0,0.0,2.1,2.1,2.0,2.1,2.1,2.2,0.0,0.0,33372.127,2.1,2.1,0.0
2019-12-19 5:01:18,1104,4,0.0,0.0,0.0,0.0,2.1,2.1,2.0,2.1,2.1,2.2,0.0,0.0,33372.127,2.1,2.1,0.0
2019-12-19 5:01:28,1104,4,0.0,0.0,0.0,0.0,2.1,2.1,2.0,2.1,2.1,2.2,0.0,0.0,33372.127,2.1,2.1,0.0
2019-12-19 5:01:38,1104,4,0.0,0.0,0.0,0.0,2.1,2.1,2.0,2.1,2.1,2.2,0.0,0.0,33372.127,2.1,2.1,0.0
2019-12-19 5:01:48,1104,4,0.0,0.0,0.0,0.0,2.1,2.1,2.0,2.1,2.1,2.2,0.0,0.0,33372.127,2.1,2.1,0.0
2019-12-19 5:01:58,1104,4,0.0,0.0,0.0,0.0,2.1,2.1,2.0,2.1,2.2,2.2,0.0,0.0,33372.127,2.1166666666666667,2.1,0.0
2019-12-19 5:02:08,1104,4,0.0,0.0,0.0,0.0,2.1,2.1,2.0,2.1,2.1,2.2,0.0,0.0,33372.127,2.1,2.1,0.0
