时间,环号,推进状态,推进速度,总推力,刀盘扭矩,刀盘转速,土压01数值,土压02数值,土压03数值,土压04数值,土压05数值,土压06数值,螺旋机转速,螺旋机扭矩,前端里程,土压平均值,上土压,推进距离
2019-12-3 11:01:42,952,4,0.0,0.0,0.0,0.0,2.1,2.2,2.1,2.1,2.1,2.1,0.0,0.0,33189.269,2.1166666666666667,2.1500000000000004,0.0029999999969732016
2019-12-3 11:01:52,952,4,0.0,0.0,0.0,0.0,2.1,2.2,2.1,2.1,2.1,2.1,0.0,0.0,33189.269,2.1166666666666667,2.1500000000000004,0.0029999999969732016
2019-12-3 11:02:02,952,4,0.0,0.0,0.0,0.0,2.1,2.2,2.1,2.1,2.1,2.1,0.0,0.0,33189.269,2.1166666666666667,2.1500000000000004,0.0029999999969732016
2019-12-3 11:02:12,952,4,0.0,0.0,0.0,0.0,2.1,2.2,2.1,2.1,2.1,2.1,0.0,0.0,33189.269,2.1166666666666667,2.1500000000000004,0.0029999999969732016
2019-12-3 11:02:22,952,4,0.0,0.0,0.0,0.0,2.1,2.2,2.1,2.1,2.1,2.1,0.0,0.0,33189.269,2.1166666666666667,2.1500000000000004,0.0029999999969732016
2019-12-3 11:02:32,952,4,0.0,0.0,0.0,0.0,2.1,2.2,2.1,2.1,2.1,2.1,0.0,0.0,33189.269,2.1166666666666667,2.1500000000000004,0.0029999999969732016
2019-12-3 11:02:42,952,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.1,2.1,0.0,0.0,33189.269,2.1,2.1,0.0029999999969732016
2019-12-3 11:02:52,952,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.1,2.1,0.0,0.0,33189.269,2.1,2.1,0.0029999999969732016
2019-12-3 11:03:02,952,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.1,2.1,0.0,0.0,33189.269,2.1,2.1,0.0029999999969732016
2019-12-3 11:03:12,952,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.1,2.1,0.0,0.0,33189.269,2.1,2.1,0.0029999999969732016
