时间,环号,推进状态,推进速度,总推力,刀盘扭矩,刀盘转速,土压01数值,土压02数值,土压03数值,土压04数值,土压05数值,土压06数值,螺旋机转速,螺旋机扭矩,前端里程,土压平均值,上土压,推进距离
2019-12-6 13:25:22,983,4,0.0,0.0,0.0,0.0,1.9,2.1,2.3,2.4,2.5,2.6,0.0,0.0,33226.594,2.3,2.0,0.0
2019-12-6 13:25:32,983,4,0.0,0.0,0.0,0.0,1.9,2.1,2.3,2.4,2.5,2.6,0.0,0.0,33226.594,2.3,2.0,0.0
2019-12-6 13:25:42,983,4,0.0,0.0,0.0,0.0,1.9,2.1,2.3,2.4,2.5,2.6,0.0,0.0,33226.594,2.3,2.0,0.0
2019-12-6 13:25:52,983,4,0.0,0.0,0.0,0.0,1.9,2.1,2.3,2.4,2.5,2.6,0.0,0.0,33226.594,2.3,2.0,0.0
2019-12-6 13:26:02,983,4,0.0,0.0,0.0,0.0,1.9,2.1,2.3,2.4,2.5,2.6,0.0,0.0,33226.594,2.3,2.0,0.0
2019-12-6 13:26:12,983,4,0.0,0.0,0.0,0.0,1.9,2.1,2.3,2.4,2.4,2.6,0.0,0.0,33226.594,2.283333333333333,2.0,0.0
2019-12-6 13:26:22,983,4,0.0,0.0,0.0,0.0,1.9,2.1,2.3,2.4,2.4,2.6,0.0,0.0,33226.594,2.283333333333333,2.0,0.0
2019-12-6 13:26:32,983,4,0.0,0.0,0.0,0.0,1.9,2.1,2.3,2.4,2.4,2.5,0.0,0.0,33226.594,2.2666666666666666,2.0,0.0
2019-12-6 13:26:42,983,4,0.0,0.0,0.0,0.0,1.9,2.1,2.3,2.4,2.4,2.5,0.0,0.0,33226.594,2.2666666666666666,2.0,0.0
2019-12-6 13:26:52,983,4,0.0,0.0,0.0,0.0,1.9,2.1,2.3,2.4,2.4,2.5,0.0,0.0,33226.594,2.2666666666666666,2.0,0.0
2019-12-6 13:27:02,983,4,0.0,0.0,0.0,0.0,1.9,2.1,2.3,2.4,2.4,2.5,0.0,0.0,33226.594,2.2666666666666666,2.0,0.0
2019-12-6 13:27:12,983,4,0.0,0.0,0.0,0.0,1.9,2.1,2.3,2.4,2.4,2.5,0.0,0.0,33226.594,2.2666666666666666,2.0,0.0
2019-12-6 13:27:22,983,4,0.0,0.0,0.0,0.0,1.9,2.1,2.3,2.4,2.4,2.5,0.0,0.0,33226.594,2.2666666666666666,2.0,0.0
2019-12-6 13:27:32,983,4,0.0,0.0,0.0,0.0,1.9,2.1,2.3,2.4,2.4,2.5,0.0,0.0,33226.594,2.2666666666666666,2.0,0.0
2019-12-6 13:27:42,983,4,0.0,0.0,0.0,0.0,1.9,2.1,2.3,2.4,2.4,2.5,0.0,0.0,33226.594,2.2666666666666666,2.0,0.0
2019-12-6 13:27:52,983,4,0.0,0.0,0.0,0.0,1.9,2.1,2.3,2.4,2.4,2.5,0.0,0.0,33226.594,2.2666666666666666,2.0,0.0
2019-12-6 13:28:02,983,4,0.0,0.0,0.0,0.0,1.9,2.1,2.3,2.4,2.4,2.5,0.0,0.0,33226.594,2.2666666666666666,2.0,0.0
2019-12-6 13:28:12,983,4,0.0,0.0,0.0,0.0,1.9,2.1,2.3,2.4,2.4,2.5,0.0,0.0,33226.594,2.2666666666666666,2.0,0.0
2019-12-6 13:28:22,983,4,0.0,0.0,0.0,0.0,1.9,2.1,2.3,2.4,2.4,2.5,0.0,0.0,33226.594,2.2666666666666666,2.0,0.0
2019-12-6 13:28:32,983,4,0.0,0.0,0.0,0.0,1.9,2.1,2.3,2.4,2.4,2.5,0.0,0.0,33226.594,2.2666666666666666,2.0,0.0
2019-12-6 13:28:42,983,4,0.0,0.0,0.0,0.0,1.9,2.1,2.2,2.4,2.4,2.5,0.0,0.0,33226.594,2.25,2.0,0.0
2019-12-6 13:28:52,983,4,0.0,0.0,0.0,0.0,1.9,2.1,2.3,2.4,2.4,2.5,0.0,0.0,33226.594,2.2666666666666666,2.0,0.0
2019-12-6 13:29:02,983,4,0.0,0.0,0.0,0.0,1.9,2.1,2.3,2.4,2.4,2.5,0.0,0.0,33226.594,2.2666666666666666,2.0,0.0
2019-12-6 13:29:12,983,4,0.0,0.0,0.0,0.0,1.9,2.1,2.3,2.4,2.4,2.5,0.0,0.0,33226.594,2.2666666666666666,2.0,0.0
2019-12-6 13:29:22,983,4,0.0,0.0,0.0,0.0,1.9,2.1,2.3,2.4,2.4,2.5,0.0,0.0,33226.594,2.2666666666666666,2.0,0.0
2019-12-6 13:29:32,983,4,0.0,0.0,0.0,0.0,1.9,2.0,2.2,2.4,2.4,2.5,0.0,0.0,33226.594,2.2333333333333334,1.95,0.0
2019-12-6 13:29:42,983,4,0.0,0.0,0.0,0.0,1.9,2.0,2.2,2.4,2.4,2.5,0.0,0.0,33226.594,2.2333333333333334,1.95,0.0
