时间,环号,推进状态,推进速度,总推力,刀盘扭矩,刀盘转速,土压01数值,土压02数值,土压03数值,土压04数值,土压05数值,土压06数值,螺旋机转速,螺旋机扭矩,前端里程,土压平均值,上土压,推进距离
2019-12-4 13:27:10,965,4,0.0,0.0,0.0,0.0,2.3,2.3,2.3,2.3,2.3,2.3,0.0,0.0,33204.925,2.3000000000000003,2.3,0.0030000000042491592
2019-12-4 13:27:20,965,4,0.0,0.0,0.0,0.0,2.3,2.3,2.3,2.3,2.3,2.3,0.0,0.0,33204.925,2.3000000000000003,2.3,0.0030000000042491592
2019-12-4 13:27:30,965,4,0.0,0.0,0.0,0.0,2.3,2.3,2.3,2.3,2.3,2.3,0.0,0.0,33204.925,2.3000000000000003,2.3,0.0030000000042491592
2019-12-4 13:27:40,965,4,0.0,0.0,0.0,0.0,2.3,2.3,2.3,2.3,2.3,2.3,0.0,0.0,33204.925,2.3000000000000003,2.3,0.0030000000042491592
2019-12-4 13:27:50,965,4,0.0,0.0,0.0,0.0,2.3,2.3,2.3,2.3,2.3,2.3,0.0,0.0,33204.925,2.3000000000000003,2.3,0.0030000000042491592
2019-12-4 13:28:00,965,4,0.0,0.0,0.0,0.0,2.3,2.3,2.3,2.3,2.3,2.3,0.0,0.0,33204.925,2.3000000000000003,2.3,0.0030000000042491592
2019-12-4 13:28:10,965,4,0.0,0.0,0.0,0.0,2.3,2.3,2.3,2.3,2.3,2.3,0.0,0.0,33204.925,2.3000000000000003,2.3,0.0030000000042491592
2019-12-4 13:28:20,965,4,0.0,0.0,0.0,0.0,2.3,2.3,2.3,2.3,2.3,2.3,0.0,0.0,33204.925,2.3000000000000003,2.3,0.0030000000042491592
2019-12-4 13:28:30,965,4,0.0,0.0,0.0,0.0,2.3,2.3,2.3,2.3,2.3,2.3,0.0,0.0,33204.925,2.3000000000000003,2.3,0.0030000000042491592
2019-12-4 13:28:40,965,4,0.0,0.0,0.0,0.0,2.3,2.3,2.3,2.3,2.3,2.3,0.0,0.0,33204.925,2.3000000000000003,2.3,0.0030000000042491592
2019-12-4 13:28:50,965,4,0.0,0.0,0.0,0.0,2.3,2.3,2.3,2.3,2.3,2.3,0.0,0.0,33204.925,2.3000000000000003,2.3,0.0030000000042491592
2019-12-4 13:29:00,965,4,0.0,0.0,0.0,0.0,2.3,2.3,2.3,2.3,2.3,2.3,0.0,0.0,33204.925,2.3000000000000003,2.3,0.0030000000042491592
