时间,环号,推进状态,推进速度,总推力,刀盘扭矩,刀盘转速,土压01数值,土压02数值,土压03数值,土压04数值,土压05数值,土压06数值,螺旋机转速,螺旋机扭矩,前端里程,土压平均值,上土压,推进距离
2019-11-13 16:53:24,843,4,0.0,0.0,0.0,0.0,2.4,2.5,2.5,2.5,2.5,2.5,0.0,0.0,33058.162000000004,2.4833333333333334,2.45,0.005000000004656613
2019-11-13 16:53:34,843,4,0.0,0.0,0.0,0.0,2.4,2.5,2.5,2.5,2.5,2.5,0.0,0.0,33058.162000000004,2.4833333333333334,2.45,0.005000000004656613
2019-11-13 16:53:44,843,4,0.0,0.0,0.0,0.0,2.4,2.5,2.5,2.5,2.5,2.5,0.0,0.0,33058.162000000004,2.4833333333333334,2.45,0.005000000004656613
2019-11-13 16:53:54,843,4,0.0,0.0,0.0,0.0,2.4,2.5,2.5,2.5,2.5,2.5,0.0,0.0,33058.162000000004,2.4833333333333334,2.45,0.005000000004656613
2019-11-13 16:54:04,843,4,0.0,0.0,0.0,0.0,2.4,2.4,2.4,2.5,2.5,2.5,0.0,0.0,33058.162000000004,2.4499999999999997,2.4,0.005000000004656613
2019-11-13 16:54:14,843,4,0.0,0.0,0.0,0.0,2.4,2.4,2.4,2.5,2.5,2.5,0.0,0.0,33058.162000000004,2.4499999999999997,2.4,0.005000000004656613
2019-11-13 16:54:24,843,4,0.0,0.0,0.0,0.0,2.4,2.4,2.4,2.5,2.5,2.5,0.0,0.0,33058.162000000004,2.4499999999999997,2.4,0.005000000004656613
2019-11-13 16:54:34,843,4,0.0,0.0,0.0,0.0,2.4,2.4,2.4,2.5,2.4,2.5,0.0,0.0,33058.162000000004,2.433333333333333,2.4,0.005000000004656613
2019-11-13 16:54:44,843,4,0.0,0.0,0.0,0.0,2.4,2.4,2.4,2.5,2.4,2.5,0.0,0.0,33058.162000000004,2.433333333333333,2.4,0.005000000004656613
2019-11-13 16:54:54,843,4,0.0,0.0,0.0,0.0,2.4,2.4,2.4,2.5,2.4,2.5,0.0,0.0,33058.162000000004,2.433333333333333,2.4,0.005000000004656613
2019-11-13 16:55:04,843,4,0.0,0.0,0.0,0.0,2.4,2.4,2.4,2.5,2.4,2.5,0.0,0.0,33058.162000000004,2.433333333333333,2.4,0.005000000004656613
