时间,环号,推进状态,推进速度,总推力,刀盘扭矩,刀盘转速,土压01数值,土压02数值,土压03数值,土压04数值,土压05数值,土压06数值,螺旋机转速,螺旋机扭矩,前端里程,土压平均值,上土压,推进距离
2019-11-10 14:46:11,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:46:21,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:46:31,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:46:41,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:46:51,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:47:01,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:47:11,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:47:21,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:47:31,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:47:41,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:47:51,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:48:01,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:48:11,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:48:21,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:48:31,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:48:41,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:48:51,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:49:01,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:49:11,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:49:21,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:49:31,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:49:41,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:49:51,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:50:01,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:50:11,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:50:21,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:50:31,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:50:41,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:50:51,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:51:01,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:51:11,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:51:21,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:51:31,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:51:41,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:51:51,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:52:01,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:52:11,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:52:21,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:52:31,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:52:41,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:52:51,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:53:01,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:53:11,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:53:21,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:53:31,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:53:41,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:53:51,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:54:01,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:54:11,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:54:21,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:54:31,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:54:41,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:54:51,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:55:01,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:55:11,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:55:21,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:55:31,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:55:41,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:55:51,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:56:01,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:56:11,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:56:21,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
2019-11-10 14:56:31,820,4,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.2,2.2,0.0,0.0,33030.492,2.1333333333333333,2.1,0.0
