时间,环号,推进状态,推进速度,总推力,刀盘扭矩,刀盘转速,土压01数值,土压02数值,土压03数值,土压04数值,土压05数值,土压06数值,螺旋机转速,螺旋机扭矩,前端里程,土压平均值,上土压,推进距离
2019-12-29 11:31:30,1184,4,0.0,0.0,0.0,0.0,1.8,1.8,1.8,1.8,1.8,1.8,0.0,0.0,33468.347,1.8,1.8,0.0
2019-12-29 11:31:40,1184,4,0.0,0.0,0.0,0.0,1.8,1.8,1.8,1.8,1.8,1.8,0.0,0.0,33468.347,1.8,1.8,0.0
2019-12-29 11:31:50,1184,4,0.0,0.0,0.0,0.0,1.8,1.8,1.8,1.8,1.8,1.8,0.0,0.0,33468.347,1.8,1.8,0.0
2019-12-29 11:32:00,1184,4,0.0,0.0,0.0,0.0,1.8,1.8,1.8,1.8,1.8,1.8,0.0,0.0,33468.347,1.8,1.8,0.0
2019-12-29 11:32:10,1184,4,0.0,0.0,0.0,0.0,1.8,1.8,1.8,1.8,1.8,1.8,0.0,0.0,33468.347,1.8,1.8,0.0
2019-12-29 11:32:20,1184,4,0.0,0.0,0.0,0.0,1.8,1.8,1.8,1.8,1.8,1.8,0.0,0.0,33468.347,1.8,1.8,0.0
2019-12-29 11:32:30,1184,4,0.0,0.0,0.0,0.0,1.8,1.8,1.8,1.8,1.8,1.8,0.0,0.0,33468.347,1.8,1.8,0.0
2019-12-29 11:32:40,1184,4,0.0,0.0,0.0,0.0,1.8,1.8,1.8,1.8,1.8,1.8,0.0,0.0,33468.347,1.8,1.8,0.0
2019-12-29 11:32:50,1184,4,0.0,0.0,0.0,0.0,1.8,1.8,1.8,1.8,1.8,1.8,0.0,0.0,33468.347,1.8,1.8,0.0
2019-12-29 11:33:00,1184,4,0.0,0.0,0.0,0.0,1.8,1.8,1.8,1.8,1.8,1.8,0.0,0.0,33468.347,1.8,1.8,0.0
2019-12-29 11:33:10,1184,4,0.0,0.0,0.0,0.0,1.8,1.8,1.8,1.8,1.8,1.8,0.0,0.0,33468.347,1.8,1.8,0.0
2019-12-29 11:33:20,1184,4,0.0,0.0,0.0,0.0,1.8,1.8,1.8,1.8,1.8,1.8,0.0,0.0,33468.347,1.8,1.8,0.0
2019-12-29 11:33:30,1184,4,0.0,0.0,0.0,0.0,1.8,1.8,1.8,1.8,1.8,1.8,0.0,0.0,33468.347,1.8,1.8,0.0
2019-12-29 11:33:40,1184,4,0.0,0.0,0.0,0.0,1.8,1.8,1.8,1.8,1.8,1.8,0.0,0.0,33468.347,1.8,1.8,0.0
2019-12-29 11:33:50,1184,4,0.0,0.0,0.0,0.0,1.8,1.8,1.8,1.8,1.8,1.8,0.0,0.0,33468.347,1.8,1.8,0.0
2019-12-29 11:34:00,1184,4,0.0,0.0,0.0,0.0,1.8,1.8,1.8,1.8,1.8,1.8,0.0,0.0,33468.347,1.8,1.8,0.0
2019-12-29 11:34:10,1184,4,0.0,0.0,0.0,0.0,1.8,1.8,1.8,1.8,1.8,1.8,0.0,0.0,33468.347,1.8,1.8,0.0
2019-12-29 11:34:20,1184,4,0.0,0.0,0.0,0.0,1.8,1.8,1.8,1.8,1.8,1.8,0.0,0.0,33468.347,1.8,1.8,0.0
2019-12-29 11:34:30,1184,4,0.0,0.0,0.0,0.0,1.8,1.8,1.8,1.8,1.8,1.8,0.0,0.0,33468.347,1.8,1.8,0.0
2019-12-29 11:34:40,1184,4,0.0,0.0,0.0,0.0,1.8,1.8,1.8,1.8,1.8,1.8,0.0,0.0,33468.347,1.8,1.8,0.0
