时间,环号,推进状态,推进速度,总推力,刀盘扭矩,刀盘转速,土压01数值,土压02数值,土压03数值,土压04数值,土压05数值,土压06数值,螺旋机转速,螺旋机扭矩,前端里程,土压平均值,上土压,推进距离
2019-12-7 20:00:49,995,4,0.0,0.0,0.0,0.0,2.0,2.1,2.0,2.2,2.2,2.3,0.0,0.0,33240.998,2.1333333333333333,2.05,0.0
2019-12-7 20:00:59,995,4,0.0,0.0,0.0,0.0,2.0,2.1,2.0,2.2,2.2,2.3,0.0,0.0,33240.998,2.1333333333333333,2.05,0.0
2019-12-7 20:01:09,995,4,0.0,0.0,0.0,0.0,2.0,2.1,2.0,2.2,2.2,2.3,0.0,0.0,33240.998,2.1333333333333333,2.05,0.0
2019-12-7 20:01:19,995,4,0.0,0.0,0.0,0.0,2.0,2.1,2.0,2.2,2.2,2.3,0.0,0.0,33240.998,2.1333333333333333,2.05,0.0
2019-12-7 20:01:29,995,4,0.0,0.0,0.0,0.0,2.0,2.1,2.0,2.2,2.2,2.3,0.0,0.0,33240.998,2.1333333333333333,2.05,0.0
2019-12-7 20:01:39,995,4,0.0,0.0,0.0,0.0,2.0,2.1,2.0,2.2,2.2,2.3,0.0,0.0,33240.998,2.1333333333333333,2.05,0.0
2019-12-7 20:01:49,995,4,0.0,0.0,0.0,0.0,2.0,2.1,2.0,2.2,2.2,2.3,0.0,0.0,33240.998,2.1333333333333333,2.05,0.0
2019-12-7 20:01:59,995,4,0.0,0.0,0.0,0.0,2.0,2.1,2.0,2.2,2.2,2.3,0.0,0.0,33240.998,2.1333333333333333,2.05,0.0
2019-12-7 20:02:09,995,4,0.0,0.0,0.0,0.0,2.0,2.1,2.0,2.2,2.2,2.3,0.0,0.0,33240.998,2.1333333333333333,2.05,0.0
2019-12-7 20:02:19,995,4,0.0,0.0,0.0,0.0,2.0,2.1,2.0,2.2,2.2,2.3,0.0,0.0,33240.998,2.1333333333333333,2.05,0.0
2019-12-7 20:02:29,995,4,0.0,0.0,0.0,0.0,2.0,2.1,2.0,2.2,2.2,2.3,0.0,0.0,33240.998,2.1333333333333333,2.05,0.0
2019-12-7 20:02:39,995,4,0.0,0.0,0.0,0.0,2.0,2.1,2.0,2.2,2.2,2.3,0.0,0.0,33240.998,2.1333333333333333,2.05,0.0
2019-12-7 20:02:49,995,4,0.0,0.0,0.0,0.0,2.0,2.1,2.0,2.2,2.1,2.3,0.0,0.0,33240.998,2.1166666666666667,2.05,0.0
2019-12-7 20:02:59,995,4,0.0,0.0,0.0,0.0,2.0,2.1,2.0,2.2,2.1,2.3,0.0,0.0,33240.998,2.1166666666666667,2.05,0.0
2019-12-7 20:03:09,995,4,0.0,0.0,0.0,0.0,2.0,2.1,2.0,2.2,2.1,2.3,0.0,0.0,33240.998,2.1166666666666667,2.05,0.0
2019-12-7 20:03:19,995,4,0.0,0.0,0.0,0.0,2.0,2.1,2.0,2.2,2.1,2.3,0.0,0.0,33240.998,2.1166666666666667,2.05,0.0
2019-12-7 20:03:29,995,4,0.0,0.0,0.0,0.0,2.0,2.1,2.0,2.2,2.1,2.3,0.0,0.0,33240.998,2.1166666666666667,2.05,0.0
2019-12-7 20:03:39,995,4,0.0,0.0,0.0,0.0,2.0,2.1,2.0,2.2,2.1,2.3,0.0,0.0,33240.998,2.1166666666666667,2.05,0.0
2019-12-7 20:03:49,995,4,0.0,0.0,0.0,0.0,2.0,2.1,2.0,2.2,2.1,2.3,0.0,0.0,33240.998,2.1166666666666667,2.05,0.0
2019-12-7 20:03:59,995,4,0.0,0.0,0.0,0.0,2.0,2.1,2.0,2.2,2.1,2.3,0.0,0.0,33240.998,2.1166666666666667,2.05,0.0
2019-12-7 20:04:09,995,4,0.0,0.0,0.0,0.0,2.0,2.1,2.0,2.2,2.1,2.3,0.0,0.0,33240.998,2.1166666666666667,2.05,0.0
2019-12-7 20:04:19,995,4,0.0,0.0,0.0,0.0,2.0,2.1,2.0,2.2,2.1,2.3,0.0,0.0,33240.998,2.1166666666666667,2.05,0.0
2019-12-7 20:04:29,995,4,0.0,0.0,0.0,0.0,2.0,2.1,2.0,2.2,2.1,2.3,0.0,0.0,33240.998,2.1166666666666667,2.05,0.0
2019-12-7 20:04:39,995,4,0.0,0.0,0.0,0.0,2.0,2.1,2.0,2.2,2.1,2.3,0.0,0.0,33240.998,2.1166666666666667,2.05,0.0
2019-12-7 20:04:49,995,4,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.2,2.1,2.3,0.0,0.0,33240.998,2.0999999999999996,2.0,0.0
2019-12-7 20:04:59,995,4,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.2,2.1,2.3,0.0,0.0,33240.998,2.0999999999999996,2.0,0.0
2019-12-7 20:05:09,995,4,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.2,2.1,2.3,0.0,0.0,33240.998,2.0999999999999996,2.0,0.0
2019-12-7 20:05:19,995,4,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.2,2.1,2.3,0.0,0.0,33240.998,2.0999999999999996,2.0,0.0
2019-12-7 20:05:29,995,4,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.2,2.1,2.3,0.0,0.0,33240.998,2.0999999999999996,2.0,0.0
2019-12-7 20:05:39,995,4,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.2,2.1,2.3,0.0,0.0,33240.998,2.0999999999999996,2.0,0.0
2019-12-7 20:05:49,995,4,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.2,2.1,2.3,0.0,0.0,33240.998,2.0999999999999996,2.0,0.0
2019-12-7 20:05:59,995,4,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.2,2.2,2.3,0.0,0.0,33240.998,2.1166666666666667,2.0,0.0
2019-12-7 20:06:09,995,4,0.0,0.0,0.0,0.0,1.9,2.0,2.0,2.1,2.2,2.3,0.0,0.0,33240.998,2.0833333333333335,1.95,0.0
2019-12-7 20:06:19,995,4,0.0,0.0,0.0,0.0,1.9,2.0,2.0,2.1,2.2,2.3,0.0,0.0,33240.998,2.0833333333333335,1.95,0.0
2019-12-7 20:06:29,995,4,0.0,0.0,0.0,0.0,1.9,2.0,2.0,2.1,2.2,2.3,0.0,0.0,33240.998,2.0833333333333335,1.95,0.0
2019-12-7 20:06:39,995,4,0.0,0.0,0.0,0.0,1.9,2.0,2.0,2.1,2.2,2.3,0.0,0.0,33240.998,2.0833333333333335,1.95,0.0
2019-12-7 20:06:49,995,4,0.0,0.0,0.0,0.0,1.9,2.0,2.0,2.1,2.2,2.3,0.0,0.0,33240.998,2.0833333333333335,1.95,0.0
2019-12-7 20:06:59,995,4,0.0,0.0,0.0,0.0,1.9,2.0,2.0,2.1,2.2,2.3,0.0,0.0,33240.998,2.0833333333333335,1.95,0.0
2019-12-7 20:07:09,995,4,0.0,0.0,0.0,0.0,1.9,2.0,2.0,2.1,2.2,2.3,0.0,0.0,33240.998,2.0833333333333335,1.95,0.0
2019-12-7 20:07:19,995,4,0.0,0.0,0.0,0.0,1.9,2.0,2.0,2.1,2.2,2.3,0.0,0.0,33240.998,2.0833333333333335,1.95,0.0
2019-12-7 20:07:29,995,4,0.0,0.0,0.0,0.0,1.9,2.0,2.0,2.1,2.2,2.3,0.0,0.0,33240.998,2.0833333333333335,1.95,0.0
2019-12-7 20:07:39,995,4,0.0,0.0,0.0,0.0,1.9,2.0,2.0,2.1,2.2,2.3,0.0,0.0,33240.998,2.0833333333333335,1.95,0.0
2019-12-7 20:07:49,995,4,0.0,0.0,0.0,0.0,1.9,2.0,2.0,2.1,2.2,2.3,0.0,0.0,33240.998,2.0833333333333335,1.95,0.0
2019-12-7 20:07:59,995,4,0.0,0.0,0.0,0.0,1.9,2.0,2.0,2.1,2.2,2.3,0.0,0.0,33240.998,2.0833333333333335,1.95,0.0
2019-12-7 20:08:09,995,4,0.0,0.0,0.0,0.0,1.9,2.0,2.0,2.1,2.2,2.3,0.0,0.0,33240.998,2.0833333333333335,1.95,0.0
2019-12-7 20:08:19,995,4,0.0,0.0,0.0,0.0,1.9,2.0,2.0,2.1,2.2,2.3,0.0,0.0,33240.998,2.0833333333333335,1.95,0.0
2019-12-7 20:08:29,995,4,0.0,0.0,0.0,0.0,1.9,2.0,2.0,2.1,2.2,2.3,0.0,0.0,33240.998,2.0833333333333335,1.95,0.0
2019-12-7 20:08:39,995,4,0.0,0.0,0.0,0.0,1.9,2.0,2.0,2.1,2.2,2.3,0.0,0.0,33240.998,2.0833333333333335,1.95,0.0
