时间,环号,推进状态,推进速度,总推力,刀盘扭矩,刀盘转速,土压01数值,土压02数值,土压03数值,土压04数值,土压05数值,土压06数值,螺旋机转速,螺旋机扭矩,前端里程,土压平均值,上土压,推进距离
2019-12-14 5:08:19,1063,4,0.0,0.0,0.0,0.0,2.2,2.3,2.2,2.2,2.3,2.4,0.0,0.0,33322.821,2.2666666666666666,2.25,0.0030000000042491592
2019-12-14 5:08:29,1063,4,0.0,0.0,0.0,0.0,2.2,2.3,2.2,2.2,2.3,2.4,0.0,0.0,33322.821,2.2666666666666666,2.25,0.0030000000042491592
2019-12-14 5:08:39,1063,4,0.0,0.0,0.0,0.0,2.2,2.2,2.2,2.2,2.3,2.4,0.0,0.0,33322.821,2.2500000000000004,2.2,0.0030000000042491592
2019-12-14 5:08:49,1063,4,0.0,0.0,0.0,0.0,2.2,2.2,2.2,2.2,2.3,2.4,0.0,0.0,33322.821,2.2500000000000004,2.2,0.0030000000042491592
2019-12-14 5:08:59,1063,4,0.0,0.0,0.0,0.0,2.2,2.2,2.2,2.2,2.3,2.4,0.0,0.0,33322.821,2.2500000000000004,2.2,0.0030000000042491592
2019-12-14 5:09:09,1063,4,0.0,0.0,0.0,0.0,2.2,2.2,2.2,2.2,2.3,2.4,0.0,0.0,33322.821,2.2500000000000004,2.2,0.0030000000042491592
2019-12-14 5:09:19,1063,4,0.0,0.0,0.0,0.0,2.2,2.2,2.2,2.2,2.3,2.4,0.0,0.0,33322.821,2.2500000000000004,2.2,0.0030000000042491592
2019-12-14 5:09:29,1063,4,0.0,0.0,0.0,0.0,2.2,2.2,2.2,2.2,2.3,2.4,0.0,0.0,33322.821,2.2500000000000004,2.2,0.0030000000042491592
2019-12-14 5:09:40,1063,4,0.0,0.0,0.0,0.0,2.2,2.2,2.2,2.2,2.3,2.4,0.0,0.0,33322.821,2.2500000000000004,2.2,0.0030000000042491592
2019-12-14 5:09:50,1063,4,0.0,0.0,0.0,0.0,2.2,2.2,2.2,2.2,2.3,2.4,0.0,0.0,33322.821,2.2500000000000004,2.2,0.0030000000042491592
2019-12-14 5:10:00,1063,4,0.0,0.0,0.0,0.0,2.2,2.2,2.2,2.2,2.3,2.4,0.0,0.0,33322.821,2.2500000000000004,2.2,0.0030000000042491592
2019-12-14 5:10:10,1063,4,0.0,0.0,0.0,0.0,2.2,2.2,2.2,2.2,2.3,2.4,0.0,0.0,33322.821,2.2500000000000004,2.2,0.0030000000042491592
2019-12-14 5:10:20,1063,4,0.0,0.0,0.0,0.0,2.2,2.2,2.2,2.2,2.3,2.4,0.0,0.0,33322.821,2.2500000000000004,2.2,0.0030000000042491592
2019-12-14 5:10:30,1063,4,0.0,0.0,0.0,0.0,2.2,2.2,2.2,2.2,2.3,2.4,0.0,0.0,33322.821,2.2500000000000004,2.2,0.0030000000042491592
2019-12-14 5:10:40,1063,4,0.0,0.0,0.0,0.0,2.2,2.2,2.2,2.2,2.3,2.4,0.0,0.0,33322.821,2.2500000000000004,2.2,0.0030000000042491592
2019-12-14 5:10:50,1063,4,0.0,0.0,0.0,0.0,2.2,2.2,2.2,2.2,2.3,2.4,0.0,0.0,33322.821,2.2500000000000004,2.2,0.0030000000042491592
2019-12-14 5:11:00,1063,4,0.0,0.0,0.0,0.0,2.2,2.2,2.2,2.2,2.3,2.4,0.0,0.0,33322.821,2.2500000000000004,2.2,0.0030000000042491592
2019-12-14 5:11:10,1063,4,0.0,0.0,0.0,0.0,2.2,2.2,2.2,2.2,2.3,2.4,0.0,0.0,33322.821,2.2500000000000004,2.2,0.0030000000042491592
2019-12-14 5:11:20,1063,4,0.0,0.0,0.0,0.0,2.2,2.2,2.2,2.2,2.3,2.4,0.0,0.0,33322.821,2.2500000000000004,2.2,0.0030000000042491592
2019-12-14 5:11:30,1063,4,0.0,0.0,0.0,0.0,2.2,2.2,2.2,2.2,2.3,2.4,0.0,0.0,33322.821,2.2500000000000004,2.2,0.0030000000042491592
2019-12-14 5:11:40,1063,4,0.0,0.0,0.0,0.0,2.2,2.2,2.2,2.2,2.3,2.4,0.0,0.0,33322.821,2.2500000000000004,2.2,0.0030000000042491592
2019-12-14 5:11:50,1063,4,0.0,0.0,0.0,0.0,2.2,2.2,2.2,2.2,2.3,2.4,0.0,0.0,33322.821,2.2500000000000004,2.2,0.0030000000042491592
2019-12-14 5:12:00,1063,4,0.0,0.0,0.0,0.0,2.2,2.2,2.2,2.2,2.3,2.4,0.0,0.0,33322.821,2.2500000000000004,2.2,0.0030000000042491592
2019-12-14 5:12:10,1063,4,0.0,0.0,0.0,0.0,2.2,2.2,2.2,2.2,2.3,2.4,0.0,0.0,33322.821,2.2500000000000004,2.2,0.0030000000042491592
2019-12-14 5:12:20,1063,4,0.0,0.0,0.0,0.0,2.2,2.2,2.2,2.2,2.3,2.4,0.0,0.0,33322.821,2.2500000000000004,2.2,0.0030000000042491592
2019-12-14 5:12:30,1063,4,0.0,0.0,0.0,0.0,2.2,2.2,2.2,2.2,2.3,2.4,0.0,0.0,33322.821,2.2500000000000004,2.2,0.0030000000042491592
2019-12-14 5:12:40,1063,4,0.0,0.0,0.0,0.0,2.2,2.2,2.2,2.2,2.3,2.4,0.0,0.0,33322.821,2.2500000000000004,2.2,0.0030000000042491592
2019-12-14 5:12:50,1063,4,0.0,0.0,0.0,0.0,2.2,2.2,2.2,2.2,2.3,2.4,0.0,0.0,33322.821,2.2500000000000004,2.2,0.0030000000042491592
2019-12-14 5:13:00,1063,4,0.0,0.0,0.0,0.0,2.2,2.2,2.2,2.2,2.3,2.4,0.0,0.0,33322.821,2.2500000000000004,2.2,0.0030000000042491592
2019-12-14 5:13:10,1063,4,0.0,0.0,0.0,0.0,2.2,2.2,2.2,2.2,2.3,2.4,0.0,0.0,33322.821,2.2500000000000004,2.2,0.0030000000042491592
2019-12-14 5:13:20,1063,4,0.0,0.0,0.0,0.0,2.2,2.2,2.2,2.2,2.3,2.4,0.0,0.0,33322.821,2.2500000000000004,2.2,0.0030000000042491592
2019-12-14 5:13:30,1063,4,0.0,0.0,0.0,0.0,2.2,2.2,2.2,2.2,2.3,2.4,0.0,0.0,33322.821,2.2500000000000004,2.2,0.0030000000042491592
2019-12-14 5:13:40,1063,4,0.0,0.0,0.0,0.0,2.2,2.2,2.2,2.2,2.3,2.4,0.0,0.0,33322.821,2.2500000000000004,2.2,0.0030000000042491592
